datum,M01AB,M01AE,N02BA,N02BE,N05B,N05C,R03,R06,Year,Month,Hour,Weekday_Name,Day,Week,Weekend,M01AB_Lag1,M01AB_MA7
2014-01-23,4.0,4.67,5.2,26.2,2.0,3.0,1.0,3.0,2014,1,276,Thursday,23,4,0,7.0,3.761428571428571
2014-01-24,4.67,7.34,7.0,19.6,13.0,1.0,0.0,0.0,2014,1,276,Friday,24,4,0,4.0,4.142857142857143
2014-01-25,6.0,9.0,5.0,37.8,18.0,0.0,5.0,1.0,2014,1,276,Saturday,25,4,1,4.67,4.857142857142857
2014-01-26,4.33,1.68,0.0,24.0,4.0,0.0,0.0,0.0,2014,1,276,Sunday,26,4,1,6.0,4.857142857142857
2014-01-27,4.34,4.67,1.2,23.6,17.0,2.0,1.0,3.0,2014,1,276,Monday,27,5,0,4.33,4.62
2014-01-28,6.0,3.34,2.8,13.38,22.0,5.0,1.0,5.0,2014,1,276,Tuesday,28,5,0,4.34,5.191428571428572
2014-01-29,5.33,4.0,2.0,14.0,10.0,1.0,1.0,2.0,2014,1,276,Wednesday,29,5,0,6.0,4.952857142857143
2014-01-30,3.02,1.34,2.4,25.5,7.0,1.0,3.0,2.0,2014,1,276,Thursday,30,5,0,5.33,4.812857142857142
2014-01-31,1.0,2.68,7.1,26.9,9.0,0.0,1.0,0.0,2014,1,276,Friday,31,5,0,3.02,4.288571428571428
2014-02-01,4.33,4.32,5.0,43.0,13.0,1.0,14.0,0.0,2014,2,276,Saturday,1,5,1,1.0,4.05
2014-02-02,7.0,3.0,0.2,13.5,6.0,2.0,8.0,0.0,2014,2,276,Sunday,2,5,1,4.33,4.4314285714285715
2014-02-03,5.0,1.0,8.5,32.4,16.0,1.0,1.0,0.0,2014,2,276,Monday,3,6,0,7.0,4.525714285714286
2014-02-04,1.33,3.0,7.0,30.6,8.0,1.0,17.0,2.0,2014,2,276,Tuesday,4,6,0,5.0,3.858571428571428
2014-02-05,3.0,4.02,6.2,32.4,15.0,1.0,1.0,1.0,2014,2,276,Wednesday,5,6,0,1.33,3.525714285714286
2014-02-06,3.33,6.68,3.5,41.4,17.0,2.0,5.0,2.0,2014,2,276,Thursday,6,6,0,3.0,3.57
2014-02-07,2.66,8.67,11.7,21.4,19.0,1.0,0.0,0.0,2014,2,276,Friday,7,6,0,3.33,3.807142857142857
2014-02-08,3.33,3.35,14.4,37.1,13.0,1.0,1.0,1.0,2014,2,276,Saturday,8,6,1,2.66,3.664285714285714
2014-02-09,4.0,3.0,2.0,31.5,10.0,0.0,6.0,0.0,2014,2,276,Sunday,9,6,1,3.33,3.2357142857142853
2014-02-10,5.0,10.33,8.5,40.1,20.0,3.0,3.0,1.0,2014,2,276,Monday,10,7,0,4.0,3.2357142857142853
2014-02-11,10.0,6.99,13.3,44.6,20.0,2.0,6.0,2.2,2014,2,276,Tuesday,11,7,0,5.0,4.474285714285714
2014-02-12,9.0,1.67,9.1,73.6,9.0,0.0,5.0,0.0,2014,2,276,Wednesday,12,7,0,10.0,5.331428571428572
2014-02-13,4.33,3.67,10.0,49.1,13.0,3.0,0.0,1.0,2014,2,276,Thursday,13,7,0,9.0,5.474285714285713
2014-02-14,4.0,4.01,3.2,42.3,13.0,4.0,0.0,6.0,2014,2,276,Friday,14,7,0,4.33,5.6657142857142855
2014-02-15,1.0,2.34,2.0,37.0,9.0,0.0,1.0,5.0,2014,2,276,Saturday,15,7,1,4.0,5.332857142857143
2014-02-16,0.0,1.68,1.2,34.0,5.0,2.0,3.0,1.0,2014,2,276,Sunday,16,7,1,1.0,4.761428571428572
2014-02-17,7.34,4.0,12.7,27.0,13.0,1.0,7.0,0.0,2014,2,276,Monday,17,8,0,0.0,5.095714285714286
2014-02-18,7.34,7.36,6.1,45.0,14.0,0.0,13.0,5.0,2014,2,276,Tuesday,18,8,0,7.34,4.715714285714286
2014-02-19,3.33,5.02,5.5,66.8,17.0,1.0,6.0,1.0,2014,2,276,Wednesday,19,8,0,7.34,3.905714285714286
2014-02-20,7.0,7.02,3.2,21.5,16.0,3.0,8.0,1.0,2014,2,276,Thursday,20,8,0,3.33,4.2871428571428565
2014-02-21,6.0,4.34,9.0,25.4,17.0,0.0,0.0,0.0,2014,2,276,Friday,21,8,0,7.0,4.572857142857143
2014-02-22,7.0,3.17,5.7,26.0,12.0,0.0,1.0,0.0,2014,2,276,Saturday,22,8,1,6.0,5.43
2014-02-23,1.0,3.34,2.0,21.0,10.0,0.0,0.0,0.0,2014,2,276,Sunday,23,8,1,7.0,5.572857142857143
2014-02-24,7.0,4.68,5.5,26.5,4.0,0.0,0.0,3.0,2014,2,276,Monday,24,9,0,1.0,5.524285714285715
2014-02-25,5.0,1.68,11.2,34.5,13.0,0.0,0.0,2.0,2014,2,276,Tuesday,25,9,0,7.0,5.1899999999999995
2014-02-26,5.0,4.01,1.0,34.0,5.0,0.0,12.0,1.0,2014,2,276,Wednesday,26,9,0,5.0,5.428571428571429
2014-02-27,3.0,6.34,4.0,33.2,8.0,1.0,2.0,1.0,2014,2,276,Thursday,27,9,0,5.0,4.857142857142857
2014-02-28,7.0,7.36,5.3,37.0,12.0,1.0,2.0,0.0,2014,2,276,Friday,28,9,0,3.0,5.0
2014-03-01,6.34,3.68,11.355,50.7,8.0,0.0,0.0,2.1,2014,3,276,Saturday,1,9,1,7.0,4.905714285714287
2014-03-02,3.34,1.0,2.0,6.6,2.0,0.0,0.0,1.0,2014,3,276,Sunday,2,9,1,6.34,5.24
2014-03-03,4.0,3.68,1.6,22.1,1.0,2.0,0.0,2.2,2014,3,276,Monday,3,10,0,3.34,4.811428571428571
2014-03-04,5.34,7.02,7.2,47.275,9.0,0.0,5.0,4.0,2014,3,276,Tuesday,4,10,0,4.0,4.86
2014-03-05,3.34,1.0,3.0,25.0,4.0,0.0,1.0,0.0,2014,3,276,Wednesday,5,10,0,5.34,4.622857142857143
2014-03-06,3.0,2.0,5.5,44.1,17.0,1.0,5.0,1.0,2014,3,276,Thursday,6,10,0,3.34,4.622857142857143
2014-03-07,4.0,4.34,9.5,25.0,3.0,1.0,0.0,2.0,2014,3,276,Friday,7,10,0,3.0,4.194285714285714
2014-03-08,4.34,3.07,1.0,27.6,11.0,0.0,0.0,0.0,2014,3,276,Saturday,8,10,1,4.0,3.9085714285714284
2014-03-09,1.0,0.0,4.0,11.3,3.0,0.0,5.0,0.0,2014,3,276,Sunday,9,10,1,4.34,3.5742857142857147
2014-03-10,6.68,5.35,3.8,47.0,11.0,0.0,0.0,2.0,2014,3,276,Monday,10,11,0,1.0,3.9571428571428577
2014-03-11,6.0,5.7,7.0,30.4,12.0,1.0,1.0,5.0,2014,3,276,Tuesday,11,11,0,6.68,4.051428571428572
2014-03-12,6.34,2.68,6.5,19.6,22.0,3.0,2.0,2.0,2014,3,276,Wednesday,12,11,0,6.0,4.4799999999999995
2014-03-13,2.31,4.36,5.3,15.5,10.0,0.0,26.0,2.0,2014,3,276,Thursday,13,11,0,6.34,4.381428571428572
2014-03-14,4.34,1.68,1.2,16.0,11.0,0.0,1.0,2.0,2014,3,276,Friday,14,11,0,2.31,4.430000000000001
2014-03-15,4.0,2.0,11.0,23.3,18.0,1.0,6.0,2.0,2014,3,276,Saturday,15,11,1,4.34,4.381428571428572
2014-03-16,2.68,2.0,1.4,13.0,6.0,0.0,0.0,4.0,2014,3,276,Sunday,16,11,1,4.0,4.621428571428572
2014-03-17,8.68,3.34,7.0,37.0,6.0,1.0,0.0,1.0,2014,3,276,Monday,17,12,0,2.68,4.9071428571428575
2014-03-18,8.0,4.0,5.0,20.1,9.0,0.0,0.0,4.0,2014,3,276,Tuesday,18,12,0,8.68,5.192857142857143
2014-03-19,4.0,3.02,4.0,21.8,2.0,0.0,0.0,2.0,2014,3,276,Wednesday,19,12,0,8.0,4.8585714285714285
2014-03-20,3.0,5.34,1.6,38.2,5.0,0.0,7.0,4.2,2014,3,276,Thursday,20,12,0,4.0,4.957142857142857
2014-03-21,6.0,3.68,4.5,40.0,4.0,0.0,2.0,1.0,2014,3,276,Friday,21,12,0,3.0,5.194285714285714
2014-03-22,3.34,2.34,0.0,26.3,10.0,2.0,18.0,8.4,2014,3,276,Saturday,22,12,1,6.0,5.1000000000000005
2014-03-23,6.34,2.0,4.0,19.4,0.0,1.0,0.0,3.0,2014,3,276,Sunday,23,12,1,3.34,5.622857142857143
2014-03-24,5.68,1.0,4.0,23.6,7.0,0.0,6.0,3.5,2014,3,276,Monday,24,13,0,6.34,5.194285714285714
2014-03-25,4.0,1.34,9.0,38.6,7.0,0.0,1.0,1.0,2014,3,276,Tuesday,25,13,0,5.68,4.622857142857143
2014-03-26,2.34,3.99,9.0,6.7,7.0,3.0,3.0,0.0,2014,3,276,Wednesday,26,13,0,4.0,4.385714285714285
2014-03-27,4.0,0.33,2.0,20.7,6.0,1.0,1.0,5.0,2014,3,276,Thursday,27,13,0,2.34,4.5285714285714285
2014-03-28,2.67,2.0,8.0,11.0,3.0,0.0,9.0,5.0,2014,3,276,Friday,28,13,0,4.0,4.0528571428571425
2014-03-29,4.0,6.33,4.2,24.0,8.0,2.0,9.0,3.0,2014,3,276,Saturday,29,13,1,2.67,4.147142857142858
2014-03-30,3.0,2.34,0.0,12.0,4.0,0.0,0.0,7.0,2014,3,276,Sunday,30,13,1,4.0,3.6699999999999995
2014-03-31,5.34,2.34,4.0,15.4,6.0,1.0,4.0,6.0,2014,3,276,Monday,31,14,0,3.0,3.6214285714285714
2014-04-01,4.34,1.34,6.5,27.5,5.0,3.0,3.0,1.0,2014,4,276,Tuesday,1,14,0,5.34,3.6699999999999995
2014-04-02,2.0,4.68,8.9,23.0,1.0,0.0,7.0,3.0,2014,4,276,Wednesday,2,14,0,4.34,3.6214285714285714
2014-04-03,1.0,1.34,3.0,19.2,4.0,0.0,0.0,4.0,2014,4,276,Thursday,3,14,0,2.0,3.192857142857143
2014-04-04,3.0,3.67,3.0,24.0,9.0,3.0,8.0,2.0,2014,4,276,Friday,4,14,0,1.0,3.2399999999999998
2014-04-05,2.0,7.68,10.0,25.6,5.0,0.0,5.0,3.0,2014,4,276,Saturday,5,14,1,3.0,2.954285714285714
2014-04-06,2.0,1.0,1.0,19.0,1.0,0.0,0.0,1.0,2014,4,276,Sunday,6,14,1,2.0,2.8114285714285714
2014-04-07,6.34,6.0,6.5,31.5,4.0,0.0,0.0,1.0,2014,4,276,Monday,7,15,0,2.0,2.954285714285714
2014-04-08,4.34,2.34,1.7,19.0,6.0,1.0,0.0,4.7,2014,4,276,Tuesday,8,15,0,6.34,2.954285714285714
2014-04-09,6.0,1.02,1.0,18.0,2.0,1.0,2.0,2.6,2014,4,276,Wednesday,9,15,0,4.34,3.525714285714286
2014-04-10,3.33,1.68,1.0,18.0,10.0,0.0,4.0,4.0,2014,4,276,Thursday,10,15,0,6.0,3.858571428571428
2014-04-11,6.0,4.0,3.0,25.0,2.0,2.0,0.0,2.0,2014,4,276,Friday,11,15,0,3.33,4.2871428571428565
2014-04-12,7.02,3.34,6.0,23.5,19.0,0.0,11.0,4.0,2014,4,276,Saturday,12,15,1,6.0,5.0042857142857144
2014-04-13,3.0,2.0,2.0,6.0,3.0,0.0,5.0,2.0,2014,4,276,Sunday,13,15,1,7.02,5.147142857142858
2014-04-14,1.34,4.68,5.35,28.28,10.0,0.0,5.0,5.0,2014,4,276,Monday,14,16,0,3.0,4.432857142857143
2014-04-15,4.34,3.0,6.4,18.7,12.0,0.0,10.0,1.0,2014,4,276,Tuesday,15,16,0,1.34,4.432857142857143
2014-04-16,2.0,1.01,4.2,25.62,1.0,0.0,6.0,4.0,2014,4,276,Wednesday,16,16,0,4.34,3.8614285714285717
2014-04-17,5.34,0.34,7.2,16.0,19.0,0.0,0.0,0.0,2014,4,276,Thursday,17,16,0,2.0,4.148571428571429
2014-04-18,7.0,7.0,8.0,23.3,10.0,1.0,0.0,5.0,2014,4,276,Friday,18,16,0,5.34,4.291428571428571
2014-04-19,7.34,3.35,4.0,22.3,7.0,0.0,3.0,5.0,2014,4,276,Saturday,19,16,1,7.0,4.337142857142857
2014-04-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,4,276,Sunday,20,16,1,7.34,3.9085714285714284
2014-04-21,1.34,1.68,2.1,13.5,8.0,0.0,0.0,1.0,2014,4,276,Monday,21,17,0,0.0,3.9085714285714284
2014-04-22,5.34,7.165,3.3,32.0,8.0,1.0,0.0,1.0,2014,4,276,Tuesday,22,17,0,1.34,4.051428571428572
2014-04-23,6.34,2.34,3.0,24.9,8.0,1.0,2.0,1.0,2014,4,276,Wednesday,23,17,0,5.34,4.671428571428572
2014-04-24,2.0,2.0,1.1,26.0,6.0,0.0,6.0,2.0,2014,4,276,Thursday,24,17,0,6.34,4.194285714285714
2014-04-25,3.0,2.02,5.0,24.9,10.0,1.0,1.0,3.0,2014,4,276,Friday,25,17,0,2.0,3.6228571428571428
2014-04-26,4.34,2.67,5.5,35.0,12.0,1.0,6.0,4.0,2014,4,276,Saturday,26,17,1,3.0,3.1942857142857144
2014-04-27,4.0,2.34,2.0,26.2,2.0,0.0,1.0,1.0,2014,4,276,Sunday,27,17,1,4.34,3.7657142857142856
2014-04-28,1.34,3.09,3.0,29.1,8.0,2.0,0.0,2.0,2014,4,276,Monday,28,18,0,4.0,3.7657142857142856
2014-04-29,3.33,4.02,4.4,30.3,6.0,1.0,5.0,0.4,2014,4,276,Tuesday,29,18,0,1.34,3.4785714285714286
2014-04-30,4.34,2.68,7.0,43.1,11.0,0.0,7.0,4.0,2014,4,276,Wednesday,30,18,0,3.33,3.1928571428571426
2014-05-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,5,276,Thursday,1,18,0,4.34,2.9071428571428575
2014-05-02,7.34,7.34,6.3,39.5,16.0,1.0,12.0,2.0,2014,5,276,Friday,2,18,0,0.0,3.527142857142857
2014-05-03,4.0,5.34,2.0,14.6,5.0,2.0,0.0,2.5,2014,5,276,Saturday,3,18,1,7.34,3.4785714285714286
2014-05-04,1.67,4.69,1.2,20.0,3.0,0.0,0.0,3.0,2014,5,276,Sunday,4,18,1,4.0,3.1457142857142864
2014-05-05,3.0,5.785,5.0,20.0,7.0,0.0,3.0,4.0,2014,5,276,Monday,5,19,0,1.67,3.382857142857143
2014-05-06,7.34,4.36,4.0,22.0,10.0,2.0,6.0,5.0,2014,5,276,Tuesday,6,19,0,3.0,3.9557142857142855
2014-05-07,3.33,6.32,3.0,16.8,8.0,1.0,3.0,11.0,2014,5,276,Wednesday,7,19,0,7.34,3.8114285714285714
2014-05-08,2.0,2.34,3.4,20.4,10.0,3.0,0.0,5.0,2014,5,276,Thursday,8,19,0,3.33,4.097142857142857
2014-05-09,2.0,5.0,4.2,16.0,12.0,2.0,1.0,2.0,2014,5,276,Friday,9,19,0,2.0,3.334285714285714
2014-05-10,5.0,6.0,9.0,39.4,15.0,3.0,1.0,5.0,2014,5,276,Saturday,10,19,1,2.0,3.4771428571428573
2014-05-11,2.0,2.68,1.0,17.0,7.0,0.0,1.0,4.0,2014,5,276,Sunday,11,19,1,5.0,3.5242857142857145
2014-05-12,4.34,3.34,9.0,12.0,8.0,0.0,5.0,2.0,2014,5,276,Monday,12,20,0,2.0,3.7157142857142857
2014-05-13,3.68,0.34,6.2,32.0,7.0,0.0,25.0,7.5,2014,5,276,Tuesday,13,20,0,4.34,3.192857142857143
2014-05-14,1.0,4.02,6.0,24.3,4.0,0.0,0.0,3.0,2014,5,276,Wednesday,14,20,0,3.68,2.86
2014-05-15,2.34,2.02,3.0,19.3,7.0,0.0,1.0,2.0,2014,5,276,Thursday,15,20,0,1.0,2.9085714285714284
2014-05-16,5.34,7.0,3.0,22.0,10.0,1.0,11.0,1.0,2014,5,276,Friday,16,20,0,2.34,3.3857142857142857
2014-05-17,2.34,7.68,3.0,35.0,14.0,1.0,0.0,2.0,2014,5,276,Saturday,17,20,1,5.34,3.005714285714286
2014-05-18,3.34,2.0,5.0,9.4,6.0,0.0,0.0,1.0,2014,5,276,Sunday,18,20,1,2.34,3.197142857142857
2014-05-19,8.34,3.84,6.1,12.8,5.0,0.0,3.0,9.0,2014,5,276,Monday,19,21,0,3.34,3.7685714285714282
2014-05-20,1.0,2.375,7.0,27.0,10.0,1.0,0.0,3.6,2014,5,276,Tuesday,20,21,0,8.34,3.3857142857142857
2014-05-21,2.0,4.68,9.5,15.4,6.0,1.0,0.0,3.0,2014,5,276,Wednesday,21,21,0,1.0,3.5285714285714285
2014-05-22,3.68,1.33,1.2,8.0,8.0,0.0,2.0,4.0,2014,5,276,Thursday,22,21,0,2.0,3.7199999999999998
2014-05-23,5.0,2.34,3.9,17.5,8.0,2.0,10.0,7.0,2014,5,276,Friday,23,21,0,3.68,3.6714285714285713
2014-05-24,3.0,4.713,5.0,28.0,11.0,1.0,0.0,9.0,2014,5,276,Saturday,24,21,1,5.0,3.7657142857142856
2014-05-25,2.0,3.0,1.0,7.0,8.0,0.0,5.0,1.0,2014,5,276,Sunday,25,21,1,3.0,3.5742857142857143
2014-05-26,2.68,3.34,7.4,18.0,7.0,1.0,0.0,5.0,2014,5,276,Monday,26,22,0,2.0,2.7657142857142856
2014-05-27,0.0,2.34,5.0,28.6,12.0,1.0,1.0,6.0,2014,5,276,Tuesday,27,22,0,2.68,2.6228571428571428
2014-05-28,1.34,5.02,1.4,10.28,9.0,0.0,2.0,5.1,2014,5,276,Wednesday,28,22,0,0.0,2.5285714285714285
2014-05-29,4.0,5.34,6.3,27.0,13.0,0.0,0.0,2.0,2014,5,276,Thursday,29,22,0,1.34,2.5742857142857143
2014-05-30,3.02,2.02,2.0,21.5,14.0,0.0,0.0,5.0,2014,5,276,Friday,30,22,0,4.0,2.2914285714285714
2014-05-31,5.67,3.34,2.0,28.0,10.0,0.0,15.0,2.0,2014,5,276,Saturday,31,22,1,3.02,2.672857142857143
2014-06-01,1.0,0.68,1.0,10.0,4.0,1.0,1.0,3.0,2014,6,276,Sunday,1,22,1,5.67,2.5300000000000002
2014-06-02,4.0,4.34,10.0,23.3,16.0,3.0,0.0,3.0,2014,6,276,Monday,2,23,0,1.0,2.718571428571429
2014-06-03,3.0,2.0,2.4,24.0,7.0,2.0,5.0,3.0,2014,6,276,Tuesday,3,23,0,4.0,3.1471428571428572
2014-06-04,1.0,4.68,3.5,24.0,6.0,0.0,1.0,2.5,2014,6,276,Wednesday,4,23,0,3.0,3.0985714285714288
2014-06-05,0.34,4.68,4.5,22.5,4.0,0.0,0.0,5.0,2014,6,276,Thursday,5,23,0,1.0,2.575714285714286
2014-06-06,5.0,1.68,3.0,16.625,15.0,2.0,1.0,5.0,2014,6,276,Friday,6,23,0,0.34,2.858571428571428
2014-06-07,9.0,3.68,7.5,33.0,8.0,1.0,6.0,7.0,2014,6,276,Saturday,7,23,1,5.0,3.334285714285714
2014-06-08,1.0,2.0,3.0,11.0,8.0,0.0,6.0,2.0,2014,6,276,Sunday,8,23,1,9.0,3.334285714285714
2014-06-09,6.33,1.34,5.0,18.0,17.0,4.0,0.0,11.0,2014,6,276,Monday,9,24,0,1.0,3.6671428571428573
2014-06-10,8.68,2.68,4.3,23.0,16.0,2.0,2.0,6.5,2014,6,276,Tuesday,10,24,0,6.33,4.478571428571429
2014-06-11,4.34,0.68,2.3,12.5,16.0,2.0,12.0,9.0,2014,6,276,Wednesday,11,24,0,8.68,4.9557142857142855
2014-06-12,4.34,3.0,1.0,15.8,12.0,0.0,2.0,3.0,2014,6,276,Thursday,12,24,0,4.34,5.527142857142857
2014-06-13,1.0,2.68,5.0,10.0,11.0,0.0,3.0,1.0,2014,6,276,Friday,13,24,0,4.34,4.9557142857142855
2014-06-14,4.0,5.02,6.0,8.0,10.0,0.0,1.0,3.0,2014,6,276,Saturday,14,24,1,1.0,4.241428571428571
2014-06-15,0.34,2.0,0.0,8.0,5.0,0.0,0.0,3.3,2014,6,276,Sunday,15,24,1,4.0,4.147142857142858
2014-06-16,4.34,4.34,7.4,12.2,11.0,0.0,5.0,5.0,2014,6,276,Monday,16,25,0,0.34,3.8628571428571425
2014-06-17,5.0,2.34,4.0,14.0,12.0,2.0,0.0,3.0,2014,6,276,Tuesday,17,25,0,4.34,3.337142857142857
2014-06-18,2.0,2.0,4.7,18.0,6.0,0.0,1.0,3.0,2014,6,276,Wednesday,18,25,0,5.0,3.0028571428571422
2014-06-19,3.0,3.33,1.0,14.0,8.0,0.0,0.0,1.0,2014,6,276,Thursday,19,25,0,2.0,2.8114285714285714
2014-06-20,7.34,2.02,3.0,14.5,9.0,0.0,3.0,6.0,2014,6,276,Friday,20,25,0,3.0,3.7171428571428575
2014-06-21,6.0,5.68,2.0,16.0,12.0,3.0,0.0,3.0,2014,6,276,Saturday,21,25,1,7.34,4.002857142857144
2014-06-22,4.0,1.02,4.0,18.0,8.0,0.0,2.0,3.0,2014,6,276,Sunday,22,25,1,6.0,4.525714285714286
2014-06-23,2.34,7.68,3.0,25.2,12.0,0.0,2.0,3.0,2014,6,276,Monday,23,26,0,4.0,4.24
2014-06-24,3.0,5.14,4.0,16.2,23.0,0.0,2.0,4.0,2014,6,276,Tuesday,24,26,0,2.34,3.954285714285714
2014-06-25,8.0,5.34,7.0,33.8,19.0,0.0,0.0,1.0,2014,6,276,Wednesday,25,26,0,3.0,4.811428571428571
2014-06-26,3.0,2.0,11.3,19.3,14.0,0.0,0.0,1.0,2014,6,276,Thursday,26,26,0,8.0,4.811428571428571
2014-06-27,4.34,1.0,6.0,32.3,13.0,0.0,1.0,3.0,2014,6,276,Friday,27,26,0,3.0,4.382857142857143
2014-06-28,0.34,5.34,5.0,20.0,14.0,1.0,1.0,5.0,2014,6,276,Saturday,28,26,1,4.34,3.5742857142857143
2014-06-29,0.0,1.0,1.0,10.0,1.0,0.0,0.0,1.0,2014,6,276,Sunday,29,26,1,0.34,3.002857142857143
2014-06-30,6.0,5.34,1.0,25.0,6.0,0.0,0.0,0.0,2014,6,276,Monday,30,27,0,0.0,3.525714285714286
2014-07-01,4.34,2.34,2.0,19.0,10.0,0.0,0.0,2.0,2014,7,276,Tuesday,1,27,0,6.0,3.7171428571428566
2014-07-02,3.0,0.34,4.0,21.6,7.0,0.0,6.0,3.0,2014,7,276,Wednesday,2,27,0,4.34,3.0028571428571422
2014-07-03,2.33,5.68,7.0,12.5,7.0,2.0,0.0,2.0,2014,7,276,Thursday,3,27,0,3.0,2.907142857142857
2014-07-04,4.34,4.7,7.0,10.5,14.0,0.0,2.0,3.0,2014,7,276,Friday,4,27,0,2.33,2.907142857142857
2014-07-05,3.34,4.34,6.0,37.0,11.0,1.0,0.0,0.0,2014,7,276,Saturday,5,27,1,4.34,3.3357142857142854
2014-07-06,4.0,2.0,3.0,10.2,9.0,0.0,0.0,0.0,2014,7,276,Sunday,6,27,1,3.34,3.907142857142857
2014-07-07,2.0,3.34,4.0,13.0,11.0,0.0,0.0,4.0,2014,7,276,Monday,7,28,0,4.0,3.335714285714286
2014-07-08,6.34,2.34,3.0,14.0,3.0,0.0,5.0,1.0,2014,7,276,Tuesday,8,28,0,2.0,3.621428571428571
2014-07-09,3.0,6.34,5.0,13.0,6.0,4.0,0.0,2.2,2014,7,276,Wednesday,9,28,0,6.34,3.6214285714285714
2014-07-10,2.33,4.66,8.0,21.2,32.0,0.0,5.0,4.0,2014,7,276,Thursday,10,28,0,3.0,3.6214285714285714
2014-07-11,2.0,1.68,3.2,16.5,17.0,0.0,5.0,1.0,2014,7,276,Friday,11,28,0,2.33,3.287142857142857
2014-07-12,8.34,2.68,10.5,28.1,12.0,3.0,12.0,4.0,2014,7,276,Saturday,12,28,1,2.0,4.001428571428571
2014-07-13,2.0,1.34,1.0,17.0,2.0,0.0,0.0,0.0,2014,7,276,Sunday,13,28,1,8.34,3.7157142857142853
2014-07-14,5.0,3.04,3.0,11.8,19.0,1.0,2.0,2.0,2014,7,276,Monday,14,29,0,2.0,4.144285714285714
2014-07-15,3.34,1.68,1.0,15.6,18.0,0.0,0.0,1.3,2014,7,276,Tuesday,15,29,0,5.0,3.7157142857142853
2014-07-16,4.0,3.34,3.0,13.0,12.0,1.0,4.0,0.0,2014,7,276,Wednesday,16,29,0,3.34,3.858571428571428
2014-07-17,2.0,3.0,5.0,25.0,14.0,1.0,0.0,1.0,2014,7,276,Thursday,17,29,0,4.0,3.8114285714285714
2014-07-18,9.0,2.34,1.5,14.2,6.0,3.0,0.0,4.0,2014,7,276,Friday,18,29,0,2.0,4.811428571428571
2014-07-19,7.33,7.02,6.0,8.4,10.0,0.0,6.0,6.0,2014,7,276,Saturday,19,29,1,9.0,4.667142857142857
2014-07-20,3.0,0.34,1.0,8.0,5.0,0.0,0.0,0.1,2014,7,276,Sunday,20,29,1,7.33,4.8100000000000005
